ped,variant,rank_frac,effective_params,compression_ratio,auc_global,auc_per_clip,eer
UCSDped2,S,1.0,5006978,1.1151753830912654,0.8853247532585957,0.9413857415919186,0.16920559995708848
UCSDped2,S,0.75,3757154,0.8368092792264876,0.3744082899747895,0.327785244297299,0.5881916134742262
UCSDped2,S,0.5,2507330,0.5584431753617097,0.6970310572332779,0.6720748513748886,0.3442076114359277
UCSDped2,S,0.25,1257506,0.28007707149693184,0.28423201737917714,0.3790063263615315,0.6628023923188329
UCSDped2,S,0.1,513550,0.1143800348207081,0.71525337928445,0.6904995250409366,0.3837365230917771
UCSDped2,S,1.0,5006978,1.1151753830912654,0.8853247532585957,0.9413857415919186,0.16920559995708848
UCSDped2,S,0.75,3757154,0.8368092792264876,0.3744082899747895,0.327785244297299,0.5881916134742262
UCSDped2,S,0.5,2507330,0.5584431753617097,0.6970310572332779,0.6720748513748886,0.3442076114359277
UCSDped2,S,0.25,1257506,0.28007707149693184,0.28423201737917714,0.3790063263615315,0.6628023923188329
UCSDped2,S,0.1,513550,0.1143800348207081,0.71525337928445,0.6904995250409366,0.3837365230917771
UCSDped2,S,1.0,5006978,1.1151753830912654,0.8864360953172773,0.9416042946137948,0.16401598455184252
UCSDped2,S,0.75,3757154,0.8368092792264876,0.37416607439789734,0.3278210506699466,0.5881916134742262
UCSDped2,S,0.5,2507330,0.5584431753617097,0.6971249262457759,0.6727263299687978,0.3442076114359277
UCSDped2,S,0.25,1257506,0.28007707149693184,0.28428984739580543,0.37909720374621453,0.6634091884353377
UCSDped2,S,0.1,513550,0.1143800348207081,0.7156891996996191,0.69209121087702,0.38343312503352467
